Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-7-17	16.789984903353723	6.571848371923053	6.30181165357084	668.463169460352	0.9938769355021049	 	 	0.0	16.789984903353723	6.30181165357084	667.4692925248498	
2000-7-18	18.032200408827403	6.619326397119366	6.346635064222184	667.4692925248498	0.9544048017344725	 	 	0.0	18.032200408827403	6.346635064222184	666.5148877231154	
2000-7-19	23.06261283382805	6.667203399705369	6.391959808924827	666.5148877231154	0.7707668535753862	 	 	0.0	23.06261283382805	6.391959808924827	665.74412086954	
2000-7-20	20.612540795406126	6.71546527010865	6.437757710465256	665.74412086954	0.7679794251780303	 	 	0.0	20.612540795406126	6.437757710465256	664.9761414443619	
2000-7-21	15.957859711727243	6.76409778533448	6.484015252176875	664.9761414443619	0.9446183932418836	 	 	0.0	15.957859711727243	6.484015252176875	664.0315230511201	
2000-7-22	15.392526664117606	6.813086613157402	6.530731990424664	664.0315230511201	0.9590019322985324	 	 	0.0	15.392526664117606	6.530731990424664	663.0725211188216	
2000-7-23	17.10296970226128	6.8624173163450015	6.577893755312579	663.0725211188216	0.5969916559866817	 	 	0.0	17.10296970226128	6.577893755312579	662.4755294628349	
2000-7-24	15.675974785537333	6.912075356912622	6.625457901130298	662.4755294628349	0.7867748577379695	 	 	0.0	15.675974785537333	6.625457901130297	661.688754605097	
2000-7-25	17.05582459412837	6.962046100407782	6.673426911881865	661.688754605097	0.7564315558909234	 	 	0.0	17.05582459412837	6.673426911881865	660.9323230492059	
2000-7-26	17.014583227916056	7.012314820223009	6.721784273747908	660.9323230492059	0.602371840917137	 	 	0.0	17.014583227916056	6.721784273747909	660.3299512082888	
2000-7-27	22.574630004850828	7.062866701935844	6.770504011244119	660.3299512082888	0.5896254151841981	 	 	0.0	22.574630004850828	6.77050401124412	659.7403257931046	
2000-7-28	21.098277988759513	7.113686847674714	6.8195724210584565	659.7403257931046	0.7707140667580712	 	 	0.0	21.098277988759513	6.8195724210584565	658.9696117263464	
2000-7-29	23.9447008770791	7.164760280509411	6.86899081453381	658.9696117263464	0.9019635890662436	 	 	0.0	23.9447008770791	6.86899081453381	658.0676481372803	
2000-7-30	18.508284345372797	7.216071948864852	6.918754505066992	658.0676481372803	0.6990190511238323	 	 	0.0	18.508284345372797	6.918754505066992	657.3686290861564	
2000-7-31	24.210772752241095	7.267606730956856	6.968830751984584	657.3686290861564	0.5424837715364805	 	 	0.0	24.210772752241095	6.968830751984584	656.82614531462	
2000-8-1	14.002918802677298	7.319349439248597	7.019192654855273	656.82614531462	0.8442788055823718	 	 	0.0	14.002918802677298	7.019192654855273	655.9818665090377	
2000-8-2	14.6796321298215	7.371284824926447	7.0698518484186526	655.9818665090377	0.5939476317499242	 	 	0.0	14.6796321298215	7.069851848418652	655.3879188772878	
2000-8-3	9.115634263660372	7.423397582393866	7.120771465037783	655.3879188772878	0.6455006224694841	 	 	0.0	9.115634263660372	7.120771465037783	654.7424182548183	
2000-8-4	11.779253054956774	7.475672353782032	7.171942083694928	654.7424182548183	0.9770001381779541	 	 	0.0	11.779253054956774	7.171942083694929	653.7654181166404	
2000-8-5	14.176806030613761	7.52809373347588	7.223376575726303	653.7654181166404	0.7830951320797181	 	 	0.0	14.176806030613761	7.223376575726304	652.9823229845607	
2000-8-6	12.835009601782735	7.580646272654202	7.275040487326554	652.9823229845607	0.5741092746564649	 	 	0.0	12.835009601782735	7.275040487326554	652.4082137099042	
2000-8-7	10.791917290006507	7.63331448384249	7.326900500286746	652.4082137099042	0.6999185430212388	 	 	0.0	10.791917290006507	7.326900500286746	651.708295166883	
